Dataset,Model,Condition,Accuracy_Mean,Balanced_Accuracy_Mean,Precision_Mean,Recall_DR_Mean,Specificity_Mean,F1_Mean,F2_Mean,AUROC_Mean,AUPRC_Mean,MCC_Mean,Cohen_Kappa_Mean,FPR_FAR_Mean,FNR_MissRate_Mean,NPV_Mean,Brier_Mean,ECE_Mean,TP_Mean,TN_Mean,FP_Mean,FN_Mean,Threshold_Mean,Accuracy_Std,Balanced_Accuracy_Std,Precision_Std,Recall_DR_Std,Specificity_Std,F1_Std,F2_Std,AUROC_Std,AUPRC_Std,MCC_Std,Cohen_Kappa_Std,FPR_FAR_Std,FNR_MissRate_Std,NPV_Std,Brier_Std,ECE_Std,TP_Std,TN_Std,FP_Std,FN_Std,Threshold_Std
SWaT,DT-RAVLA-Supervised,Bias_10pct,0.9682691240146554,0.5790868924889543,1.0,0.15817378497790868,1.0,0.2389498281187977,0.18266485834894947,0.6186643475852482,0.4800516979436039,0.3177034926876083,0.23417233710340374,0.0,0.8418262150220913,0.9681170960556698,0.2580951587661064,0.32611869155325474,214.8,34670.0,0.0,1143.2,0.9996977476596832,0.006980734114047507,0.09260010628162758,0.0,0.18520021256325517,0.0,0.2674143515840763,0.21137693128586477,0.1328253830780716,0.05100622790546737,0.25788792345984646,0.2629195669132498,0.0,0.18520021256325517,0.006814985702701843,0.2450690405678135,0.29370092371952583,251.5018886609005,0.0,0.0,251.50188866090053,0.00027594987555800576
SWaT,DT-RAVLA-Supervised,Clean,0.9762962140557343,0.6855670103092784,1.0,0.3711340206185567,1.0,0.541130202925907,0.4244592142591575,0.6016523794939281,0.4635774834145329,0.6016884125577109,0.5315883734061135,0.0,0.6288659793814434,0.9759603265749158,0.13147693018658316,0.18156691985698287,504.0,34670.0,0.0,854.0,0.9996977476596832,0.0007163033141203609,0.009501832032815828,0.0,0.019003664065631715,0.0,0.02012851485760197,0.019864029341037818,0.037792800391582046,0.015500965939205231,0.015569025253139225,0.020189923396292622,0.0,0.019003664065631767,0.0007091710242244784,0.04567026407180519,0.06664115376212797,25.806975801127884,0.0,0.0,25.806975801127884,0.00027594987555800576
SWaT,DT-RAVLA-Supervised,Frozen_10pct,0.9764127900521817,0.6871134020618557,1.0,0.37422680412371134,1.0,0.5443254885273798,0.42766659379359345,0.6053063918885108,0.4641827537310855,0.6041686445737263,0.5347978227089537,0.0,0.6257731958762887,0.976075895077571,0.13624176521603437,0.18648750749349466,508.2,34670.0,0.0,849.8,0.9996977476596832,0.0008490400184648936,0.011262597122700415,0.0,0.022525194245400903,0.0,0.02369230864194366,0.0234927799839997,0.0414957479114211,0.013078318599955258,0.018342739026399067,0.023773755951941807,0.0,0.022525194245400927,0.0008409000575296056,0.04195634923939298,0.06221638997885721,30.589213785254433,0.0,0.0,30.589213785254437,0.00027594987555800576
SWaT,DT-RAVLA-Supervised,Gaussian_10pct,0.9762518041523259,0.6849779086892489,1.0,0.3699558173784978,1.0,0.5398639114578899,0.4232220478408409,0.5919606001122301,0.46215402764823094,0.6007104793445122,0.530319266395539,0.0,0.6300441826215023,0.9759163922168316,0.10500360041135434,0.146630150789972,502.4,34670.0,0.0,855.6,0.9996977476596832,0.0007342548350145049,0.009739960675958219,0.0,0.0194799213519165,0.0,0.02065789731062797,0.020369509247932138,0.03971170471270748,0.013990069366803621,0.015976330860420235,0.02071950262923997,0.0,0.01947992135191655,0.0007268982846274146,0.02723888481485981,0.042070043283060736,26.453733195902615,0.0,0.0,26.453733195902615,0.00027594987555800576
SWaT,DT-RAVLA-Supervised,Gaussian_5pct,0.9762795603419562,0.6853460972017673,1.0,0.3706921944035346,1.0,0.5406723060594771,0.42400052807532235,0.5980596667166506,0.46307308419148285,0.6013332452204586,0.5311285175480787,0.0,0.6293078055964655,0.9759438198611516,0.12143663429903642,0.16883032245817886,503.4,34670.0,0.0,854.6,0.9996977476596832,0.0006960110144846094,0.00923265273558611,0.0,0.018465305471172287,0.0,0.019569241193327296,0.019304701828335203,0.0389165543268484,0.015869930043277303,0.015135362574478717,0.019628330610056078,0.0,0.018465305471172335,0.0006890604199972203,0.03723729985597703,0.05650992284777166,25.075884829851965,0.0,0.0,25.075884829851965,0.00027594987555800576
SWaT,DT-RAVLA-Supervised,Missing_10pct,0.9623848118130344,0.5010309278350515,0.8,0.002061855670103093,1.0,0.004106880141576597,0.0025746795276111803,0.567890236282084,0.31032950489631245,0.037135503099035336,0.003953295096206499,0.0,0.9979381443298969,0.9623818939886055,0.16532322524974463,0.21458097300512363,2.8,34670.0,0.0,1355.2,0.9996977476596832,8.644616133229867e-05,0.0011467166054784522,0.4472135954999579,0.0022934332109569126,0.0,0.0045583488168039555,0.002862315146819407,0.062317148807077706,0.16580914102679897,0.02750908120395942,0.004388588513963656,0.0,0.0022934332109569044,8.320737326757308e-05,0.03531059976975595,0.059325468012455716,3.1144823004794877,0.0,0.0,3.114482300479463,0.00027594987555800576
SWaT,DT-RAVLA-Supervised,Missing_20pct,0.9623070944820695,0.5,0.0,0.0,1.0,0.0,0.0,0.5095861272260697,0.22684429322523547,0.0,0.0,0.0,1.0,0.9623070944820695,0.19614728375211826,0.24828279206388842,0.0,34670.0,0.0,1358.0,0.9996977476596832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10144548590900218,0.15848495119621206,0.0,0.0,0.0,0.0,0.0,0.054948381911365085,0.07599974101163204,0.0,0.0,0.0,0.0,0.00027594987555800576
SWaT,DT-RAVLA-Supervised,Temporal_Jitter,0.9762962140557343,0.6855670103092784,1.0,0.3711340206185567,1.0,0.541130202925907,0.4244592142591575,0.601652377369968,0.46357748393694836,0.6016884125577109,0.5315883734061135,0.0,0.6288659793814434,0.9759603265749158,0.13147693016333936,0.1815669198142579,504.0,34670.0,0.0,854.0,0.9996977476596832,0.0007163033141203609,0.009501832032815828,0.0,0.019003664065631715,0.0,0.02012851485760197,0.019864029341037818,0.03779280517361549,0.015500966719532466,0.015569025253139225,0.020189923396292622,0.0,0.019003664065631767,0.0007091710242244784,0.04567026415270414,0.066641153819961,25.806975801127884,0.0,0.0,25.806975801127884,0.00027594987555800576
WADI,DT-RAVLA-OneClass,Bias_10pct,0.9491237551146453,0.5,0.0,0.0,1.0,0.0,0.0,0.5118868821609565,0.08150464467106774,0.0,0.0,0.0,1.0,0.9491237551146453,0.08110000657384753,0.15078718025758253,0.0,12294.0,0.0,659.0,0.2933110717535019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0365552600858532,0.021455451258479488,0.0,0.0,0.0,0.0,0.0,0.021046776350442047,0.053911584155892374,0.0,0.0,0.0,0.0,0.0686112445483736
WADI,DT-RAVLA-OneClass,Clean,0.9491237551146453,0.5,0.0,0.0,1.0,0.0,0.0,0.5299795130580496,0.08582586863447147,0.0,0.0,0.0,1.0,0.9491237551146453,0.09716992699466884,0.20274303688023404,0.0,12294.0,0.0,659.0,0.2933110717535019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03942626289110976,0.016679896375024705,0.0,0.0,0.0,0.0,0.0,0.014867372301270816,0.030973311586357972,0.0,0.0,0.0,0.0,0.0686112445483736
WADI,DT-RAVLA-OneClass,Frozen_10pct,0.9464988805682081,0.49919165572458085,0.012900432900432902,0.0012139605462822458,0.9971693509028794,0.002185100504196674,0.0014759293644873044,0.5038178313662265,0.06268238123329081,-0.005100354317224329,-0.0027726545173642593,0.0028306490971205466,0.9987860394537178,0.9490452033069922,0.05178970039064186,0.03082084628385771,0.8,12259.2,34.8,658.2,0.2933110717535019,0.003197606335047139,0.0011508366866748011,0.01998012542984716,0.0016622839378002006,0.0034410969625919565,0.002996380111411981,0.0020212127527038967,0.04401728134438025,0.013906030898949576,0.006398092621976988,0.0038506169322660606,0.003441096962591951,0.0016622839378001937,0.00011200889064754565,0.0023648657118121885,0.009548819657892232,1.0954451150103321,42.3048460581054,42.30484605810545,1.095445115010327,0.0686112445483736
WADI,DT-RAVLA-OneClass,Gaussian_10pct,0.9491237551146453,0.5,0.0,0.0,1.0,0.0,0.0,0.5646743060076186,0.0910498769999972,0.0,0.0,0.0,1.0,0.9491237551146453,0.09628750469742858,0.20163769582169602,0.0,12294.0,0.0,659.0,0.2933110717535019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06833908105651522,0.019329780075944943,0.0,0.0,0.0,0.0,0.0,0.014411839616989101,0.029875346434546854,0.0,0.0,0.0,0.0,0.0686112445483736
WADI,DT-RAVLA-OneClass,Gaussian_5pct,0.9491237551146453,0.5,0.0,0.0,1.0,0.0,0.0,0.5385056628534146,0.0868410592217358,0.0,0.0,0.0,1.0,0.9491237551146453,0.09639796526697217,0.20099654027491906,0.0,12294.0,0.0,659.0,0.2933110717535019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046249058201923196,0.016984182133901723,0.0,0.0,0.0,0.0,0.0,0.014789485049858036,0.030697335399157945,0.0,0.0,0.0,0.0,0.0686112445483736
WADI,DT-RAVLA-OneClass,Missing_10pct,0.5901181193545897,0.6354361269780613,0.08922618959505434,0.6858877086494688,0.5849845453066537,0.15480635390133582,0.28133919924227735,0.6926023600344913,0.08951856958997144,0.1298182287895523,0.07168976138156839,0.41501545469334633,0.3141122913505311,0.9733444793447946,0.0725720395403477,0.11452887940151155,452.0,7191.8,5102.2,207.0,0.2933110717535019,0.17215589019505984,0.026605088627234097,0.023600504422150018,0.15751547414284295,0.18956056743174887,0.031419462164557155,0.026582507749726387,0.05033364033106685,0.018216460353915612,0.032968618200552996,0.03963878121625037,0.18956056743174887,0.1575154741428429,0.006929097116621749,0.014993833948146055,0.044303075484468664,103.80269746013347,2330.457616005921,2330.457616005921,103.80269746013347,0.0686112445483736
WADI,DT-RAVLA-OneClass,Missing_20pct,0.34172778506909596,0.6237808245284412,0.07116241153419975,0.9377845220030349,0.3097771270538474,0.13174661466317292,0.2699578036565803,0.717908436033418,0.09634361130477001,0.12217486933231618,0.04106734355744035,0.6902228729461526,0.0622154779969651,0.9912033938696153,0.0797697020191852,0.13703756173394097,618.0,3808.4,8485.6,41.0,0.2933110717535019,0.18117568851473187,0.06910024567195158,0.015461718350790618,0.056656008202107616,0.19388676689155152,0.02599006248724222,0.04095029965714305,0.038585632221515724,0.016470310390697778,0.047489069916461214,0.03067002951395931,0.19388676689155154,0.056656008202107644,0.003812047250958171,0.02255322572467063,0.05675939741039226,37.33630940518894,2383.6439121647345,2383.6439121647345,37.33630940518894,0.0686112445483736
WADI,DT-RAVLA-OneClass,Temporal_Jitter,0.9491237551146453,0.5,0.0,0.0,1.0,0.0,0.0,0.5299795007150311,0.08582586863447147,0.0,0.0,0.0,1.0,0.9491237551146453,0.09716992724607498,0.20274303753900078,0.0,12294.0,0.0,659.0,0.2933110717535019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03942624930736682,0.016679896375024705,0.0,0.0,0.0,0.0,0.0,0.014867371877894537,0.030973310307606985,0.0,0.0,0.0,0.0,0.0686112445483736
